,Hotel name,Hotel Description
191,Holiday home in New Delhi,Studio apartment with common terrace
192,Flat in New Delhi,Sufiyana * Nest
193,Flat in New Delhi,Prism Pristine| Penthouse 1BHK+Posh South Delhi
194,Room in New Delhi,Sunrise View BedRoom*Pvt Bath/Balcony*City Centre
195,Room in New Delhi,Artistic Boutique Room with kitchen in New Delhi
196,Apartment in New Delhi,Affordable & Luxury 3BHK South Delhi (Projector)
197,Flat in New Delhi,Harphool Nivas 3@ Hauz Khas Village
198,Apartment in Gurugram,Luxurious Studio Suite @ Gurgaon
199,Flat in Gurugram,LUXURY 2-room fully furnished Serviced Appt
200,Room in New Delhi,Artsy Luxurious room in SDA Wifi|Living|Kitchen
201,Villa in Delhi,Beautiful 3BHK for Private Parties in Punjabi Bagh
202,Flat in New Delhi,Blissville - 204
203,Room in New Delhi,2 Ac rooms for 3-4 ppl SAKET MALVIYA METRO Max
204,Flat in New Delhi,3BD WOW!so quiet yet so convenient. 3 min to metro
205,Flat in Gurugram,Lotus apartment By S2L
206,Flat in New Delhi,First floor 1RK in Saidulajaib
207,Flat in New Delhi,"Super Convenient 3BED.Quite, green & lots of light"
208,Apartment in Noida,#2PvtStudioKitchnBath_CentrNoidaDelhiNCR_Metro650m
209,Bed and breakfast in Noida,The Horizon Inn Boutique Hotel
210,Place to stay in New Delhi,"Bohemian En-Suite Room with WIFI, Terrace & Living"
211,Hotel room in New Delhi,A Bright & Cozy Modern room with Tv & Wifi
212,Bed and breakfast in Gurugram,Reebah Inn & Suites - 6
213,Flat in Delhi,Glamorous 3 BHK apartment in west Delhi
214,Flat in New Delhi,Modern 2 Bedroom Apartment for Perfect Stay
215,Flat in Gurugram,1BHK Serviced Apartment @Galleria Market
216,Flat in New Delhi,"Serene Apartment 1 in GK-1 
Luxury Apartment"
217,Place to stay in New Delhi,Grand Sunset Condos - I
218,Room in New Delhi,Nanda Delhi Home
219,Room in New Delhi,Monuments View - Hauz Khas Village
220,Room in New Delhi,1 lovely private bedroom with attached bathroom
221,Home in New Delhi,#001 Spacious Room near Pulbangash Metro Station
222,Apartment in New Delhi,"The family Stay

Entire Appartment"
